species,family,namephylo,namephylo1,status,community,lifehistory,growthform,native,rangeedge,specialization,Nfix,C34,raritycategory,rarity
Arisaema triphyllum,Araceae,,,1,forest,perennial,forb,native,0,1,not,C3,common,0.951807229
Asclepias exaltata,Asclepiadaceae,,,1,forest,perennial,forb,native,0,2,not,C3,occassional,0.614457831
Aster macrophyllus,Asteraceae,,,1,forest,perennial,forb,native,0,1,not,C3,common,0.891566265
Aster sagittifolius,Asteraceae,,,1,forest,perennial,forb,native,0,2,not,C3,common,0.78313253
Berberis thunbergii,Berberidaceae,,,1,forest,perennial,woody,non-native,0,2,not,C3,occassional,0.385542169
Berberis vulgaris,Berberidaceae,,,1,forest,perennial,woody,non-native,0,1,not,C3,rare,0.168674699
Blephilia hirsuta,Labiatae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.253012048
Brachyelytrum erectum,Poaceae,,,1,forest,perennial,graminoid,native,0,1,not,C3,occassional,0.253012048
Bromus pubescens,Poaceae,,,1,forest,perennial,graminoid,native,0,2,not,C3,occassional,0.301204819
Campanula americana,Campanulaceae,,,1,forest,annual/biennial,forb,native,0,2,not,C3,occassional,0.313253012
Campanula rotundifolia,Campanulaceae,,,1,forest,perennial,forb,native,0,2,not,C3,common,0.795180723
Cardamine diphylla,Brassicaceae,,,1,forest,perennial,forb,native,0,1,not,C3,common,0.78313253
Cardamine douglassii,Brassicaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.457831325
Cardamine laciniata,Brassicaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.686746988
Carex cephaloidea,Cyperaceae,,,1,forest,perennial,graminoid,native,0,1,not,C3,rare,0.240963855
Carex cephalophora,Cyperaceae,,,1,forest,perennial,graminoid,native,0,1,not,C3,occassional,0.397590361
Carex convoluta,Cyperaceae,,,1,forest,perennial,graminoid,native,0,2,not,C3,occassional,0.734939759
Carex jamesii,Cyperaceae,,,1,forest,perennial,graminoid,native,0,1,not,C3,rare,0.144578313
Carex laxiculmis,Cyperaceae,,,1,forest,perennial,graminoid,native,0,1,not,C3,rare,0.192771084
Carex oligocarpa,Cyperaceae,,,1,forest,perennial,graminoid,native,0,1,not,C3,rare,0.036144578
Carex pensylvanica,Cyperaceae,,,1,forest,perennial,graminoid,native,0,3,not,C3,common,0.759036145
Carex plantaginea,Cyperaceae,,,1,forest,perennial,graminoid,native,0,1,not,C3,occassional,0.590361446
Carex rosea,Cyperaceae,,,1,forest,perennial,graminoid,native,0,2,not,C3,occassional,0.734939759
Carex swanii,Cyperaceae,,,1,forest,perennial,graminoid,native,1,2,not,C3,occassional,0.253012048
Carya cordiformis,Juglandaceae,,,1,forest,perennial,woody,native,0,2,not,C3,occassional,0.445783133
Carya glabra,Juglandaceae,,,1,forest,perennial,woody,native,1,3,not,C3,occassional,0.325301205
Carya ovata,Juglandaceae,,,1,forest,perennial,woody,native,0,2,not,C3,occassional,0.409638554
Caulophyllum thalictroides,Berberidaceae,,,1,forest,perennial,forb,native,0,1,not,C3,common,0.843373494
Celastrus orbiculatus,Celastraceae,,,1,forest,perennial,vine,non-native,1,1,not,C3,rare,0.036144578
Chelidonium majus,Papaveraceae,,,1,forest,biennial,forb,non-native,0,2,not,C3,rare,0.240963855
Chimaphila maculata,Pyrolaceae,,,1,forest,perennial,woody,native,1,2,not,C3,rare,0.180722892
Chimaphila umbellata,Pyrolaceae,,,1,forest,perennial,woody,native,0,1,not,C3,common,0.819277108
Circaea lutetiana,Onograceae,,,1,forest,perennial,forb,native,0,3,not,C3,common,0.807228916
Claytonia virginica,Portulacaceae,,,1,forest,perennial,forb,native,0,3,not,C3,occassional,0.65060241
Collinsia verna,Scrophulariaceae,,,1,forest,annual,forb,native,0,1,not,C3,rare,0.156626506
Collinsonia canadensis,Labiatae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.289156627
Conopholis americana,Orobanchaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.481927711
Consolida ambigua/ajacis,Ranunculaceae,,,0,forest,annual,forb,non-native,0,1,not,C3,rare,0.108433735
Corallorhiza maculata,Orchidaceae,,,1,forest,perennial,forb,native,0,1,not,C3,common,0.771084337
Cornus florida,Cornaceae,,,1,forest,perennial,woody,native,1,3,not,C3,occassional,0.34939759
Cornus rugosa,Cornaceae,,,1,forest,perennial,woody,native,0,1,not,C3,occassional,0.578313253
Crataegus punctata,Rosaceae,,,1,forest,perennial,woody,native,0,3,not,C3,occassional,0.578313253
Cystopteris fragilis,Pteridaceae,,,1,forest,perennial,fern,native,0,2,not,C3,occassional,0.265060241
Deparia acrostichoides,Dryopteridaceae,,,1,forest,perennial,fern,native,0,1,not,C3,occassional,0.421686747
Desmodium glutinosum,Fabaceae,,,1,forest,perennial,forb,native,0,1,N-fix,C3,occassional,0.493975904
Desmodium nudiflorum,Fabaceae,,,1,forest,perennial,forb,native,0,1,N-fix,C3,occassional,0.373493976
Desmodium paniculatum,Fabaceae,,,1,forest,perennial,forb,native,0,3,N-fix,C3,occassional,0.337349398
Desmodium rotundifolium,Fabaceae,,,1,forest,perennial,forb,native,1,1,N-fix,C3,occassional,0.265060241
Dicentra canadensis,Fumariaceae,,,1,forest,perennial,forb,native,0,1,not,C3,common,0.795180723
Dicentra cucullaria,Fumariaceae,,,1,forest,perennial,forb,native,0,1,not,C3,common,0.759036145
Diervilla lonicera,Caprifoliaceae,,,1,forest,perennial,woody,native,0,1,not,C3,common,0.86746988
Dioscorea villosa,Dioscoreaceae,,,1,forest,perennial,vine,native,0,1,not,C3,occassional,0.457831325
Diphasiastrum digitatum,Lycopodiaceae,,,1,forest,perennial,forb,native,0,2,not,C3,occassional,0.530120482
Diphasiastrum tristachyum,Lycopodiaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.578313253
Dryopteris goldieana,Dryopteridaceae,,,1,forest,perennial,fern,native,0,1,not,C3,occassional,0.34939759
Dryopteris marginalis,Dryopteridaceae,,,1,forest,perennial,fern,native,0,2,not,C3,occassional,0.578313253
Elymus hystrix,Poaceae,,,1,forest,perennial,graminoid,native,0,1,not,C3,occassional,0.638554217
Elymus villosus,Poaceae,,,1,forest,perennial,graminoid,native,0,3,not,C3,occassional,0.313253012
Epifagus virginiana,Orobanchaceae,,,1,forest,annual,forb,native,0,1,not,C3,occassional,0.746987952
Epigaea repens,Ericaceae,,,1,forest,perennial,woody,native,0,1,not,C3,common,0.795180723
Epipactis helleborine,Orchidaceae,,,1,forest,perennial,forb,non-native,0,1,not,C3,occassional,0.578313253
Erigenia bulbosa,Umbelliferae,,,1,forest,annual/perennial,forb,native,0,2,not,C3,occassional,0.313253012
Erigeron philadelphicus,Asteraceae,,,1,forest,perennial,forb,native,0,2,not,C3,common,0.819277108
Erigeron pulchellus,Asteraceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.253012048
Erythronium albidum,Liliaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.325301205
Erythronium americanum,Liliaceae,,,1,forest,perennial,forb,native,0,3,not,C3,common,0.927710843
Euonymus obovata,Celastraceae,,,1,forest,perennial,woody,native,1,3,not,C3,occassional,0.493975904
Eupatorium purpureum,Asteraceae,,,1,forest,perennial,forb,native,0,1,not,C3,common,0.903614458
Eupatorium sessilifolium,Asteraceae,,,0,forest,perennial,forb,native,0,1,not,C3,rare,0.048192771
Fagus grandifolia,Eagaceae,,,1,forest,perennial,woody,native,0,1,not,C3,common,0.86746988
Festuca obtusa,Poaceae,,,1,forest,perennial,graminoid,native,0,2,not,C3,occassional,0.56626506
Floerkea proserpinacoides,Limnanthaceae,,,1,forest,annual,forb,native,0,1,not,C3,occassional,0.313253012
Fraxinus americana,Oleaceae,,,1,forest,perennial,woody,native,0,2,not,C3,occassional,0.674698795
Galium aparine,Rubiaceae,,,1,forest,annual,vine,native,0,2,not,C3,occassional,0.746987952
Galium circaezans,Rubiaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.481927711
Galium concinnum,Rubiaceae,,,1,forest,perennial,forb,native,0,2,not,C3,rare,0.192771084
Galium lanceolatum,Rubiaceae,,,1,forest,perennial,forb,native,0,2,not,C3,occassional,0.590361446
Gaultheria procumbens,Ericaceae,,,1,forest,perennial,woody,native,0,1,not,C3,common,0.939759036
Geranium maculatum,Geraniaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.614457831
Geranium robertianum,Geraniaceae,,,1,forest,annual/biennial,forb,non-native,0,2,not,C3,occassional,0.626506024
Geum canadense,Rosaceae,,,1,forest,perennial,forb,native,0,3,not,C3,common,0.843373494
Hackelia virginiana,Boraginaceae,,,1,forest,perennial,forb,native,0,2,not,C3,occassional,0.397590361
Hamamelis virginiana,Hamamelidaceae,,,1,forest,perennial,woody,native,0,1,not,C3,common,0.831325301
Helianthus divaricatus,Asteraceae,,,1,forest,perennial,forb,native,0,3,not,C3,occassional,0.542168675
Hepatica acutiloba,Ranunculaceae,,,1,forest,perennial,forb,native,0,2,not,C3,common,0.795180723
Hepatica americana,Ranunculaceae,,,1,forest,perennial,forb,native,0,4,not,C3,common,0.807228916
Hieracium gronovii,Asteraceae,,,1,forest,perennial,forb,native,1,3,not,C3,occassional,0.313253012
Hieracium venosum,Asteraceae,,,1,forest,perennial,forb,native,1,1,not,C3,occassional,0.530120482
Houstonia canadensis,Rubiaceae,,,0,forest,perennial,forb,native,1,1,not,C3,rare,0.084337349
Hydrophyllum canadense,Hydrophyllaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.289156627
Hydrophyllum virginianum,Hydrophyllaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.409638554
Impatiens pallida,Balsaminaceae,,,1,forest,annual,forb,native,0,1,not,C3,occassional,0.265060241
Isopyrum biternatum,Ranunculaceae,,,1,forest,perennial,forb,native,0,3,not,C3,occassional,0.337349398
Juglans nigra,Juglandaceae,,,1,forest,perennial,woody,native,0,1,not,C3,occassional,0.421686747
Juniperus communis,Cupressaceae,,,1,forest,perennial,woody,native,0,2,not,C3,occassional,0.65060241
Laportea canadensis,Urticaceae,,,1,forest,perennial,forb,native,0,2,not,C3,common,0.795180723
Lathyrus ochroleucus,Fabaceae,,,1,forest,perennial,vine,native,0,1,N-fix,C3,occassional,0.554216867
Lilium philadelphicum,Liliaceae,,,1,forest,perennial,forb,native,0,4,not,C3,occassional,0.542168675
Liriodendron tulipifera,Magnoliaceae,,,1,forest,perennial,woody,native,1,1,not,C3,occassional,0.277108434
Lobelia inflata,Campanulaceae,,,1,forest,annual,forb,native,0,2,not,C3,occassional,0.638554217
Lonicera bella,Caprifoliaceae,,,1,forest,perennial,woody,non-native,0,4,not,C3,occassional,0.493975904
Lonicera maackii,Caprifoliaceae,,,1,forest,perennial,woody,non-native,0,5,not,C3,rare,0.144578313
Lonicera tatarica,Caprifoliaceae,,,1,forest,perennial,woody,non-native,0,2,not,C3,occassional,0.397590361
Lonicera xylosteum,Caprifoliaceae,,,1,forest,perennial,woody,non-native,1,4,not,C3,rare,0.060240964
Luzula multiflora,Juncaceae,,,1,forest,perennial,graminoid,native,0,2,not,C3,occassional,0.506024096
Lycopodium clavatum,Lycopodiaceae,,,1,forest,perennial,forb,native,0,2,not,C3,occassional,0.65060241
Lysimachia quadrifolia,Primulaceae,,,1,forest,perennial,forb,native,0,2,not,C3,occassional,0.34939759
Mahonia aquifolium,Berberidaceae,,,1,forest,perennial,woody,native,1,1,not,C3,rare,0.048192771
Maianthemum racemosum,Liliaceae,,,1,forest,perennial,forb,native,0,2,not,C3,common,1
Malus coronaria,Rosaceae,,,1,forest,perennial,woody,native,0,1,not,C3,occassional,0.325301205
Melampyrum lineare,Scrophulariaceae,,,1,forest,annual,forb,native,0,1,not,C3,common,0.795180723
Monotropa uniflora,Monotropaceae,,,1,forest,perennial,forb,native,0,2,not,C3,common,0.86746988
Orchis/Galearis spectabilis,Orchidaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.253012048
Orobanche uniflora,Orobanchaceae,,,1,forest,annual,forb,native,0,1,not,C3,occassional,0.34939759
Osmorhiza claytonii,Umbelliferae,,,1,forest,perennial,forb,native,0,2,not,C3,common,0.939759036
Osmorhiza longistylis,Umbelliferae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.493975904
Ostrya virginiana,Betulaceae,,,1,forest,perennial,woody,native,0,2,not,C3,common,0.843373494
Panax trifolius,Araliaceae,,,1,forest,perennial,forb,native,0,1,not,C3,common,0.759036145
Panicum columbianum,Poaceae,,,1,forest,perennial,graminoid,native,1,3,not,C4,rare,0.156626506
Parthenocissus inserta,Vitaceae,,,1,forest,perennial,vine,native,0,2,not,C3,occassional,0.590361446
Parthenocissus quinquefolia,Vitaceae,,,1,forest,perennial,vine,native,0,3,not,C3,occassional,0.530120482
Phlox divaricata,Polemoniaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.638554217
Phryma leptostachya,Verbenaceae,,,1,forest,perennial,forb,native,0,2,not,C3,occassional,0.638554217
Phytolacca americana,Phytolaccaceae,,,1,forest,perennial,forb,native,0,2,not,C3,occassional,0.445783133
Platanthera orbiculata,Orchidaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.373493976
Podophyllum peltatum,Berberidaceae,,,1,forest,perennial,forb,native,0,2,not,C3,occassional,0.506024096
Polygala polygama,Polygalaceae,,,1,forest,biennial,forb,native,0,2,not,C3,occassional,0.638554217
Polygonatum biflorum,Liliaceae,,,1,forest,perennial,forb,native,0,3,not,C3,occassional,0.301204819
Polygonatum pubescens,Liliaceae,,,1,forest,perennial,forb,native,0,2,not,C3,common,0.975903614
Populus grandidentata,Salicaceae,,,1,forest,perennial,woody,native,0,3,not,C3,common,0.927710843
Porteranthus/Gillenia trifoliatus,Rosaceae,,,1,forest,perennial,forb,native,1,1,not,C3,rare,0.012048193
Prenanthes alba,Asteraceae,,,1,forest,perennial,forb,native,0,2,not,C3,occassional,0.734939759
Prunus americana,Rosaceae,,,1,forest,perennial,woody,native,0,2,not,C3,occassional,0.421686747
Prunus avium,Rosaceae,,,1,forest,perennial,woody,non-native,0,1,not,C3,rare,0.192771084
Prunus pensylvanica,Rosaceae,,,1,forest,perennial,woody,native,0,1,not,C3,common,0.86746988
Pteridium aquilinum,Dennstaedtiaceae,,,1,forest,perennial,fern,native,0,3,not,C3,occassional,0.698795181
Pyrola americana/rotundifolia,Pyrolaceae,,,1,forest,perennial,woody,native,0,1,not,C3,occassional,0.674698795
Pyrola elliptica,Pyrolaceae,,,1,forest,perennial,woody,native,0,1,not,C3,common,0.975903614
Quercus alba,Eagaceae,,,1,forest,perennial,woody,native,0,2,not,C3,occassional,0.638554217
Quercus rubra,Eagaceae,,,1,forest,perennial,woody,native,0,4,not,C3,common,0.951807229
Ranunculus abortivus,Ranunculaceae,,,1,forest,perennial,forb,native,0,5,not,C3,common,1
Rhamnus cathartica,Rhamnaceae,,,1,forest,perennial,woody,non-native,0,2,not,C3,occassional,0.361445783
Rhus copallina,Anacardiaceae,,,1,forest,perennial,woody,native,0,2,not,C3,occassional,0.337349398
Ribes americanum,Grossulariaceae,,,1,forest,perennial,woody,native,0,1,not,C3,common,0.915662651
Rubus allegheniensis,Rosaceae,,,1,forest,perennial,woody,native,0,3,not,C3,common,0.819277108
Rubus occidentalis,Rosaceae,,,1,forest,perennial,woody,native,0,4,not,C3,occassional,0.43373494
Sambucus canadensis,Caprifoliaceae,,,1,forest,perennial,woody,native,0,4,not,C3,common,0.927710843
Sanguinaria canadensis,Papaveraceae,,,1,forest,perennial,forb,native,0,2,not,C3,common,0.879518072
Sanicula gregaria/odorata,Umbelliferae,,,1,forest,perennial,forb,native,0,4,not,C3,occassional,0.674698795
Sanicula marilandica,Umbelliferae,,,1,forest,perennial,forb,native,0,3,not,C3,common,0.855421687
Satureja hortensis,Labiatae,,,1,forest,perennial,forb,non-native,0,1,not,C3,rare,0.072289157
Sceptridium dissectum,Ophioglossaceae,,,1,forest,perennial,fern,native,0,2,not,C3,occassional,0.662650602
Sceptridium multifidum,Ophioglossaceae,,,1,forest,perennial,fern,native,0,2,not,C3,occassional,0.710843373
Scrophularia marilandica,Scrophulariaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.265060241
Smilax herbacea,Liliaceae,,,1,forest,perennial,vine,native,0,1,not,C3,rare,0.024096386
Smilax rotundifolia,Liliaceae,,,1,forest,perennial,vine,native,0,2,not,C3,rare,0.120481928
Solidago caesia,Asteraceae,,,1,forest,perennial,forb,native,1,1,not,C3,occassional,0.493975904
Solidago flexicaulis,Asteraceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.56626506
Solidago hispida,Asteraceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.698795181
Solidago rugosa,Asteraceae,,,1,forest,perennial,forb,native,1,1,not,C3,occassional,0.734939759
Solidago ulmifolia,Asteraceae,,,1,forest,perennial,forb,native,0,3,not,C3,rare,0.120481928
Sorbus decora,Rosaceae,,,1,forest,perennial,woody,native,0,1,not,C3,occassional,0.421686747
Spiranthes ochroleuca,Orchidaceae,,,1,forest,perennial,forb,native,1,1,not,C3,rare,0.144578313
Stylophorum diphyllum,Papaveraceae,,,1,forest,perennial,forb,native,1,1,not,C3,rare,0.192771084
Taenidia integerrima,Umbelliferae,,,1,forest,perennial,forb,native,0,3,not,C3,occassional,0.662650602
Taraxacum erythrospermum,Asteraceae,,,1,forest,perennial,forb,non-native,0,3,not,C3,occassional,0.325301205
Taraxacum officinale,Asteraceae,,,1,forest,perennial,forb,native,0,5,not,C3,common,0.843373494
Thalictrum dioicum,Ranunculaceae,,,1,forest,perennial,forb,native,0,1,not,C3,occassional,0.698795181
Toxicodendron radicans,Anacardiaceae,,,1,forest,perennial,forb,native,0,5,not,C3,common,0.987951807
Trillium grandiflorum,Liliaceae,,,1,forest,perennial,forb,native,0,4,not,C3,common,1.048192771
Triosteum aurantiacum,Caprifoliaceae,,,1,forest,perennial,forb,native,0,2,not,C3,occassional,0.56626506
Triosteum perfoliatum,Caprifoliaceae,,,1,forest,perennial,forb,native,0,1,not,C3,rare,0.108433735
Ulmus rubra,Ulmaceae,,,1,forest,perennial,woody,native,0,1,not,C3,occassional,0.409638554
Uvularia grandiflora,Liliaceae,,,1,forest,perennial,forb,native,0,2,not,C3,common,0.903614458
Vaccinium myrtilloides,Ericaceae,,,1,forest,perennial,woody,native,0,1,not,C3,occassional,0.722891566
Vaccinium pallidum,Ericaceae,,,1,forest,perennial,woody,native,0,2,not,C3,occassional,0.277108434
Viburnum refinesqueanum,Caprifoliaceae,,,1,forest,perennial,woody,native,0,2,not,C3,occassional,0.457831325
Vicia caroliniana,Fabaceae,,,1,forest,perennial,vine,native,0,1,N-fix,C3,occassional,0.337349398
Viola canadensis,Violaceae,,,1,forest,perennial,forb,native,0,1,not,C3,common,0.843373494
Viola conspersa/labradorica,Violaceae,,,1,forest,perennial,forb,native,0,2,not,C3,common,0.939759036
Viola palmata,Violaceae,,,1,forest,perennial,forb,native,0,2,not,C3,occassional,0.253012048
Viola rostrata,Violaceae,,,1,forest,perennial,forb,native,0,2,not,C3,occassional,0.734939759
Viola sororia,Violaceae,,,1,forest,annual/perennial,forb,native,0,2,not,C3,common,0.879518072
Vitis aestivalis,Vitaceae,,,1,forest,perennial,vine,native,0,4,not,C3,occassional,0.34939759
Abutilon theophrasti,Malvaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.361445783
Achillea millefolium,Asteraceae,,,1,man-made,perennial,forb,native,0,2,not,C3,common,0.951807229
Aesculus hippocastanum,Hippocastanaceae,,,1,man-made,perennial,woody,non-native,0,1,not,C3,rare,0.108433735
Agrostemma githago,Caryophyllaceae,,,1,man-made,annual,forb,non-native,0,1,not,C3,occassional,0.421686747
Agrostis gigantea,Poaceae,,,1,man-made,perennial,graminoid,non-native,0,2,not,C3,common,0.939759036
Agrostis hyemalis,Poaceae,,,1,man-made,perennial,graminoid,native,0,1,not,C3,rare,0.144578313
Ailanthus altissima,Simbaroubaceae,,,1,man-made,perennial,woody,non-native,0,2,not,C3,occassional,0.289156627
Ajuga reptans,Labiatae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,rare,0.168674699
Alcea rosea,Malvaceae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,rare,0.168674699
Allium canadense,Liliaceae,,,1,man-made,perennial,forb,native,0,2,not,C3,occassional,0.313253012
Alyssum alyssoides,Brassicaceae,,,1,man-made,annual/biennial,forb,non-native,0,1,not,C3,occassional,0.493975904
Amaranthus albus,Amaranthaceae,,,1,man-made,annual,forb,non-native,0,2,not,C4,occassional,0.469879518
Amaranthus blitoides,Amaranthaceae,,,1,man-made,annual,forb,non-native,0,3,not,C4,occassional,0.313253012
Amaranthus hybridus,Amaranthaceae,,,1,man-made,annual,forb,native,0,2,not,C4,rare,0.084337349
Ambrosia artemisiifolia,Asteraceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,common,0.927710843
Ambrosia trifida,Asteraceae,,,1,man-made,annual,forb,native,0,3,not,C3,occassional,0.409638554
Antennaria howellii,Asteraceae,,,1,man-made,perennial,forb,native,0,3,not,C3,common,0.915662651
Antennaria neglecta,Asteraceae,,,1,man-made,perennial,forb,native,0,2,not,C3,rare,0.180722892
Anthemis arvensis,Asteraceae,,,1,man-made,annual,forb,non-native,0,3,not,C3,occassional,0.265060241
Anthemis cotula,Asteraceae,,,1,man-made,annual,forb,non-native,0,1,not,C3,occassional,0.614457831
Arabidopsis thaliana,Brassicaceae,,,1,man-made,annual,forb,non-native,0,3,not,C3,occassional,0.277108434
Arctium minus,Asteraceae,,,1,man-made,biennial,forb,non-native,0,3,not,C3,occassional,0.674698795
Aristida dichotoma,Poaceae,,,0,man-made,annual,graminoid,native,1,1,not,C4,rare,0.012048193
Aristida necopina,Poaceae,,,1,man-made,annual,graminoid,native,0,1,not,C4,rare,0.036144578
Artemisia absinthium,Asteraceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,occassional,0.313253012
Asclepias syriaca,Asclepiadaceae,,,1,man-made,perennial,forb,native,0,2,not,C3,common,0.903614458
Asparagus officinalis,Liliaceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,occassional,0.626506024
Asplenium platyneuron,Pteridaceae,,,1,man-made,perennial,fern,native,0,1,not,C3,occassional,0.301204819
Atriplex patula,Chenopodiaceae,,,1,man-made,annual,forb,non-native,0,1,not,C3,occassional,0.361445783
Avena sativa,Poaceae,,,1,man-made,annual,graminoid,non-native,0,1,not,C3,occassional,0.397590361
Bellis perennis,Asteraceae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,occassional,0.253012048
Berteroa incana,Brassicaceae,,,1,man-made,annual/perennial,forb,non-native,0,2,not,C3,common,0.843373494
Betula pendula,Betulaceae,,,1,man-made,perennial,woody,non-native,1,1,not,C3,rare,0.084337349
Bidens frondosa,Asteraceae,,,1,man-made,annual,forb,native,1,3,not,C3,occassional,0.602409639
Bidens vulgata,Asteraceae,,,1,man-made,annual,forb,native,0,3,not,C3,occassional,0.265060241
Brassica kaber,Brassicaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.554216867
Bromus inermis,Poaceae,,,1,man-made,perennial,graminoid,non-native,0,1,not,C3,occassional,0.65060241
Bromus japonicus,Poaceae,,,1,man-made,annual,graminoid,non-native,0,2,not,C3,rare,0.156626506
Bromus mollis,Poaceae,,,1,man-made,annual,graminoid,non-native,0,2,not,C3,rare,0.096385542
Bromus secalinus,Poaceae,,,1,man-made,annual,graminoid,non-native,0,2,not,C3,occassional,0.313253012
Bromus tectorum,Poaceae,,,1,man-made,annual,graminoid,non-native,0,1,not,C3,occassional,0.43373494
Calamovilfa longifolia,Poaceae,,,1,man-made,perennial,graminoid,native,0,1,not,C4,occassional,0.373493976
Campsis radicans,Bignoniaceae,,,1,man-made,perennial,vine,native,0,1,not,C3,rare,0.204819277
Cannabis sativa,Cannabaceae,,,1,man-made,annual,forb,non-native,0,1,not,C3,rare,0.240963855
Capsella bursa-pastoris,Brassicaceae,,,1,man-made,annual,forb,non-native,0,2,not,C3,occassional,0.674698795
Carex umbellata,Cyperaceae,,,1,man-made,perennial,graminoid,native,0,1,not,C3,rare,0.084337349
Catalpa speciosa,Bignoniaceae,,,1,man-made,perennial,woody,native,1,4,not,C3,rare,0.180722892
Cenchrus longispinus,Poaceae,,,1,man-made,annual,graminoid,native,0,2,not,C3,occassional,0.542168675
Centaurea maculosa,Asteraceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,common,0.891566265
Cerastium fontanum,Caryophyllaceae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,common,0.843373494
Cerastium tomentosum,Caryophyllaceae,,,1,man-made,annual,forb,non-native,1,2,not,C3,rare,0.084337349
Chaenorhinum minus,Scrophulariaceae,,,1,man-made,annual,forb,non-native,0,1,not,C3,occassional,0.602409639
Chenopodium album,Chenopodiaceae,,,1,man-made,annual,forb,native,0,2,not,C3,rare,0.036144578
Chondrilla juncea,Asteraceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,rare,0.168674699
Chrysanthemum leucanthemum,Asteraceae,,,1,man-made,perennial,forb,non-native,0,2,not,C3,common,0.915662651
Cichorium intybus,Asteraceae,,,1,man-made,perennial,forb,non-native,0,3,not,C3,occassional,0.734939759
Cirsium arvense,Asteraceae,,,1,man-made,perennial,forb,non-native,0,1,not,C3,occassional,0.662650602
Cirsium vulgare,Asteraceae,,,1,man-made,biennial,forb,non-native,0,2,not,C3,occassional,0.686746988
